Sub,Block,Obj,AE,SR
1,2,40,0.79537037,0.635185185
1,2,29,0.033333333,0
1,2,81,0.594444444,0.106481481
1,2,141,0.188888889,0.276851852
1,2,5,0.617592593,0.07962963
1,2,126,0.857407407,0.85
1,2,36,0.792592593,0.955555556
1,2,64,0.341666667,0.641666667
1,2,123,0.075925926,0.160185185
1,2,135,0.068518519,0.517592593
1,2,30,0.857407407,0.781481481
2,1,81,0.591666667,0.284259259
2,1,25,0.684259259,0.849074074
2,1,135,0.55,0.503703704
2,1,131,0.712037037,0.686111111
2,1,31,0.808333333,0.812037037
2,1,91,0.514814815,0.15
2,1,145,0.502777778,0.05462963
2,1,87,0.449074074,0.141666667
2,1,41,0.563888889,0.732407407
2,1,114,0.607407407,0.538888889
2,1,105,0.525,0.214814815
2,1,33,0.400925926,0.527777778
2,1,146,0.064814815,9.25926e-4
2,1,143,9.25926e-4,9.25926e-4
2,1,57,0.400925926,0.42962963
2,1,139,0.299074074,0.175
2,1,124,0.612037037,0.619444444
2,1,113,0.698148148,0.59537037
2,1,102,0.410185185,0.323148148
2,1,142,0.519444444,0.500925926
2,1,108,0.623148148,0.725
2,1,82,0.256481481,0.242592593
2,1,49,0.802777778,0.877777778
2,1,40,0.237962963,0.169444444
2,1,37,0.053703704,9.25926e-4
2,1,44,0.69537037,0.5
2,1,71,0.716666667,0.692592593
2,1,92,0.39537037,0.388888889
2,1,128,0.79537037,0.616666667
2,1,14,0.328703704,0.519444444
2,1,7,0.509259259,0.366666667
2,1,50,0.539814815,0.333333333
2,1,61,0.451851852,0.4
2,1,147,0.027777778,0.026851852
2,1,63,0.587962963,0.564814815
2,1,4,0.796296296,0.57962963
2,1,80,0.766666667,0.466666667
2,1,111,0.413888889,0.513888889
2,1,136,0.57962963,0.515740741
2,1,46,0.17037037,0.094444444
2,1,1,0.590740741,0.587962963
2,1,11,0.366666667,0.225925926
2,1,104,0.423148148,0.484259259
2,1,54,0.137037037,0.349074074
2,1,129,0.711111111,0.739814815
2,1,51,0.492592593,0.507407407
2,1,140,0.509259259,0.508333333
