Obj,Rating,Sub,Block
OBJECTS27,6,142,2
OBJECTS31,NA,142,2
OBJECTS40,NA,142,2
OBJECTS38,2,142,1
OBJECTS43,3,142,2
OBJECTS5,5,142,1
OBJECTS35,NA,142,2
OBJECTS31,6,142,1
OBJECTS7,4,142,1
OBJECTS6,5,142,1
OBJECTS18,3,142,2
OBJECTS42,5,142,1
OBJECTS24,7,142,2
OBJECTS32,5,142,1
OBJECTS42,NA,142,2
OBJECTS43,2,142,1
OBJECTS35,5,142,1
OBJECTS24,7,142,1
OBJECTS18,6,142,1
OBJECTS6,5,142,2
OBJECTS26,5,142,1
OBJECTS23,6,142,1
OBJECTS33,4,142,2
OBJECTS39,3,142,1
OBJECTS34,4,142,1
OBJECTS22,4,142,1
OBJECTS16,NA,142,2
OBJECTS8,4,142,1
OBJECTS26,NA,142,2
OBJECTS3,4,142,2
OBJECTS11,3,142,1
OBJECTS3,3,142,1
OBJECTS38,NA,142,2
OBJECTS11,NA,142,2
OBJECTS45,NA,142,2
OBJECTS7,NA,142,2
OBJECTS34,NA,142,2
OBJECTS23,NA,142,2
OBJECTS49,3,142,1
OBJECTS39,3,142,2
OBJECTS25,NA,142,2
OBJECTS12,4,142,2
OBJECTS5,NA,142,2
OBJECTS45,5,142,1
OBJECTS22,NA,142,2
OBJECTS9,3,142,2
OBJECTS34,NA,165,2
OBJECTS16,3,165,1
OBJECTS37,4,165,1
OBJECTS26,4,165,1
OBJECTS32,NA,165,2
OBJECTS21,4,165,2
OBJECTS39,5,165,1
OBJECTS33,4,165,1
OBJECTS42,NA,165,2
OBJECTS40,4,165,1
OBJECTS35,6,165,1
OBJECTS38,NA,165,2
OBJECTS22,4,165,1
OBJECTS6,3,165,1
OBJECTS49,NA,165,2
OBJECTS35,NA,165,2
OBJECTS27,3,165,2
OBJECTS23,3,165,1
OBJECTS45,5,165,1
OBJECTS9,4,165,2
OBJECTS16,NA,165,2
OBJECTS43,4,165,1
OBJECTS18,6,165,2
OBJECTS33,4,165,2
OBJECTS3,4,165,2
OBJECTS43,3,165,2
OBJECTS34,5,165,1
OBJECTS37,NA,165,2
OBJECTS40,NA,165,2
OBJECTS9,5,165,1
OBJECTS7,NA,165,2
OBJECTS12,2,165,1
OBJECTS21,3,165,1
OBJECTS45,NA,165,2
OBJECTS8,6,165,1
OBJECTS11,NA,165,2
OBJECTS23,NA,165,2
OBJECTS8,NA,165,2
OBJECTS18,6,165,1
OBJECTS5,NA,165,2
OBJECTS3,3,165,1
OBJECTS38,2,165,1
OBJECTS26,NA,165,2
OBJECTS31,3,165,1
OBJECTS11,6,165,1
OBJECTS12,2,165,2
OBJECTS7,5,165,1
OBJECTS31,NA,165,2
OBJECTS25,NA,165,2
OBJECTS27,3,165,1
OBJECTS25,3,165,1
OBJECTS39,4,165,2
OBJECTS22,NA,165,2
OBJECTS32,5,165,1
OBJECTS24,3,165,1
OBJECTS24,3,165,2
OBJECTS42,4,165,1
OBJECTS49,5,165,1
OBJECTS6,4,165,2
OBJECTS5,3,165,1
OBJECTS49,NA,192,2
OBJECTS25,1,192,1
OBJECTS31,NA,192,2
OBJECTS35,NA,192,2
OBJECTS12,4,192,2
OBJECTS33,2,192,2
OBJECTS43,1,192,2
OBJECTS34,1,192,1
OBJECTS6,2,192,1
OBJECTS16,NA,192,2
OBJECTS31,2,192,1
OBJECTS22,NA,192,2
OBJECTS42,2,192,1
OBJECTS39,2,192,2
OBJECTS26,4,192,1
OBJECTS18,1,192,1
OBJECTS27,1,192,2
OBJECTS8,NA,192,2
OBJECTS45,2,192,1
OBJECTS42,NA,192,2
OBJECTS49,2,192,1
OBJECTS35,1,192,1
OBJECTS26,NA,192,2
OBJECTS32,NA,192,2
OBJECTS34,NA,192,2
OBJECTS38,3,192,1
OBJECTS11,1,192,1
OBJECTS32,3,192,1
OBJECTS16,1,192,1
OBJECTS40,NA,192,2
OBJECTS6,2,192,2
OBJECTS38,NA,192,2
OBJECTS3,2,192,2
OBJECTS24,3,192,1
OBJECTS3,2,192,1
OBJECTS45,NA,192,2
OBJECTS9,2,192,1
